2020-07-04 16:28:16,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/mnnkki5RvP',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:16,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/PzEabD2a8D',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:15,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/OiGHxaM4Zw',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:15,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/hZk2VqGz7K',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:14,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/vRoRPGnDuz',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:14,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/aDmWJvOFNH',"Canton, Baltimore",0.0,0.0
2020-07-04 16:28:14,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/rNvf0zDCmG',"Canton, Baltimore",0.0,0.0
2020-07-04 16:19:43,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/tKil2ZidLp',"Canton, Baltimore",0.0,0.0
2020-07-04 16:18:52,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/2MiRtXV2hz',"Canton, Baltimore",0.0,0.0
2020-07-04 16:18:15,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/EmrPVC083V',"Canton, Baltimore",0.0,0.0
2020-07-04 16:16:56,b'#independenceday2020 Memethread! Here are mine add yours!\n#Secession\n#4thofJuly\n#76\n#July4th\n#1776\n#revolution\xe2\x80\xa6 https://t.co/WFcQm7t6el',"Canton, Baltimore",0.0,0.0
2020-07-04 15:39:03,b'Traitor Trump needs to be in prison ##Trump #LockHimUp #TraitorTrump #TrumpTreason  #TraitorInChief #TRE45ON\xe2\x80\xa6 https://t.co/HrWPhVEhmU',,0.0,0.0
