2020-03-18 17:55:25,"b'@NewRightAmerica When he finished the speech the assembled soldiers hooted him down, the soldiers had seen him play\xe2\x80\xa6 https://t.co/ozh35n2ZBW'",America,-0.15555555555555559,0.2888888888888889
2020-03-18 14:06:35,"b'@TennyTennison2 @NewRightAmerica Grow up, mother and wife.'",,0.0,0.0
2020-03-18 08:18:35,b'@heckinsheshed @Danesovic @NewRightAmerica Most sexual relationships between men and women involve some kind of pro\xe2\x80\xa6 https://t.co/0XmJXufMjC',,0.5333333333333333,0.7444444444444445
2020-03-18 07:50:35,"b'@heckinsheshed @Danesovic @NewRightAmerica I don\'t see women who have sex in exchange for millions of dollars to be ""exploited"".'",,0.0,0.0
2020-03-18 07:19:38,"b'@TennyTennison2 @NewRightAmerica Anglin is great, to simp for him is to S alute I nternet M emetic P rowess'",,0.8,0.75
2020-03-18 06:08:31,"b'Great piece over at @NewRightAmerica \xf0\x9f\x91\x87\n\nThe WASP in the Wilderness\nby William de Vere\n""WASP-led causes ... civil se\xe2\x80\xa6 https://t.co/qch9JLGYCa'",Albion’s Territory,0.8,0.75
2020-03-18 05:02:42,b'@BoomerChang @helioslogos @NewRightAmerica My attempt at sarcasm has failed.',"Çumra, Türkiye",-0.5,0.3
2020-03-18 04:59:24,b'@YakovRadomski @helioslogos @NewRightAmerica It required the conviction to get that--literally the opposite of what the WeinNats wanted',,0.0,0.0
2020-03-18 04:48:30,b'@helioslogos If true @NewRightAmerica is the new leader of the alt right',"Çumra, Türkiye",0.25735930735930734,0.5467532467532467
2020-03-18 01:10:56,"b'@NewRightAmerica Answer the question, fairy.'",,0.0,0.0
2020-03-18 00:42:46,"b'@Hugh_Whiteman @NewRightAmerica Let\'s turn this around: ""Given how common Jewish-friendly attitudes are among White\xe2\x80\xa6 https://t.co/ULLzjY1zrR'","Burlington, VT",-0.3,0.5
2020-03-18 00:41:29,"b""@CernoMark @NewRightAmerica No. The Weinstien stuff came up on my feed again, it's been here non-stop and I tagged\xe2\x80\xa6 https://t.co/mqiTUbZ7lh""","Burlington, VT",0.0,0.0
2020-03-18 00:32:06,b'@NewRightAmerica Move to the Pacific Northwest. Build White Nationalist communities. America is over. \nhttps://t.co/5wXzJJVJP9',Northwest American Republic,0.0,0.0
2020-03-18 00:08:04,"b'@NEETnationalist @NewRightAmerica Given how common gay-friendly attitudes are among Whites, how would be exclusiona\xe2\x80\xa6 https://t.co/aDS5ybwFsG'",,-0.3,0.5
2020-03-18 15:11:49,b'@TRSPodcasts Hail the Kar with the Prep!',,0.0,0.0
2020-03-18 23:57:34,b'For $200 you can get a shower for your ass instead of fighting for TP #TCOT \xf0\x9f\xa4\xad\xf0\x9f\xa4\xa3\nhttps://t.co/oYYMpTo99n',USA,0.0,0.0
2020-03-18 23:56:22,"b""Bosom\nErrand's\nNuttiness's\nGracefulness's\nHousebound\nArmadillo\nZip\nIndolently\n\n#benghazi #tcot""",Benghazi,0.0,0.0
2020-03-18 23:56:14,"b'To you so called \xe2\x80\x9cjournalists\xe2\x80\x9d. A study shows if the Chinese Communist government had openly acted 3 weeks earlier,\xe2\x80\xa6 https://t.co/qjM7ev5nr1'","Georgia, USA",0.0,0.25
2020-03-18 23:55:45,b'Is FB censoring posts about toilet paper?!! This happened to me and I am being told its happening to others posting\xe2\x80\xa6 https://t.co/TE9I4saigw',Michigan,-0.05208333333333333,0.0
2020-03-18 23:55:03,b'BREAKING NEWS: US Rep Mario Diaz-Balart is the first member of Congress to test positive for coronavirus\n#tcot\xe2\x80\xa6 https://t.co/5w3lbdpRIe',Taxed to Death New York,0.23863636363636365,0.43939393939393934
