2020-06-23 21:00:00,b'Syrian Deputy Prime Minister Walid al-Moalam affirmed that his country supports the Libyan National Army and Libyan\xe2\x80\xa6 https://t.co/WMlZhyNOss',Egypt,0.0,0.0
2020-06-23 20:58:42,b'#Syria\nHere is the official claim of the #Isis attack against a #TFSA officer in Northern #Aleppo. https://t.co/U6jOB23yvy',Italy,0.0,0.0
2020-06-23 20:58:07,"b'\xe2\x80\x98Nothing Is Ours Anymore\xe2\x80\x99 \xe2\x80\x93 housing, land and property (HLP) Rights Violations in #Afrin, #Syria. This chapter docu\xe2\x80\xa6 https://t.co/zITxhjtsq6'",Northern East Syria,0.0,0.0
2020-06-23 20:56:52,"b'Today the Turkish army targeted and killed female activist Zehra Berkel, who had previously said \xe2\x80\x9cToday, the same s\xe2\x80\xa6 https://t.co/LmmvKKwK8H'",Luxembourg,-0.09166666666666667,0.11458333333333333
2020-06-23 20:55:08,"b""#Syria \nAfter a very long hiatus, #Isis claims an attack in Northern #Aleppo (under #Turkey's control).\nIt is possi\xe2\x80\xa6 https://t.co/CbdGoEVbUB""",Italy,-0.065,0.52
2020-06-23 20:54:33,"b""In northeast #Syria: \n- only 30% of health facilities still getting int'l support\n- 11 risk closing down\n- at least\xe2\x80\xa6 https://t.co/cdkLKePC7b""",Iraq,-0.07777777777777779,0.6444444444444445
2020-06-23 20:49:52,"b'#Hezbollah announced the death of one of its fighters earlier today.  Ali Muhammad al Mousawi was killed ""performin\xe2\x80\xa6 https://t.co/tOOY0cj5C5'","Oregon, USA",-0.1,0.25
2020-06-23 20:49:46,b'To read today on #Syria https://t.co/XkO1Zwl7jt',,0.0,0.0
2020-06-23 20:48:21,"b'Two soldiers killed, four hurt in Israeli strikes in southeast #Syria. #geopoliticalrisk #iran #middleeast #israel\xe2\x80\xa6 https://t.co/hq4eZMqEsH'",Barbados,-0.2,0.0
2020-06-23 20:47:33,"b""#Syria's Military says 2 soldiers have been killed by Airstrikes conducted by #Israel.\nThe Israeli Military conduct\xe2\x80\xa6 https://t.co/NRYQGv29jH""","Washington, DC",-0.13333333333333333,0.06666666666666667
2020-06-23 20:46:30,b'#Turkey\xe2\x80\x99s Urfa\xe2\x80\x99s governor \xe2\x80\x9cwali\xe2\x80\x9d opens a Quran institute in the forcibly stolen house of my friend @IssoMuhyedin in\xe2\x80\xa6 https://t.co/ZQL5WnRB35',,0.5,1.0
2020-06-23 20:46:26,b'Update: #Syria says two soldiers were killed and four wounded in an Israeli attack on its military outpost on the o\xe2\x80\xa6 https://t.co/AbtGL1Ubgx',Dubai,-0.15000000000000002,0.05
2020-06-23 20:44:45,"b'The last sentence of a 3-year-old Syrian child before his death:\nAfter death, I tell God everything.\n#Syria https://t.co/KmIhjdW2wE'",,0.0,0.06666666666666667
2020-06-23 20:41:35,"b'Sustainable peace is inclusive peace, and \xe2\x99\x80\xef\xb8\x8f must have an equal seat at the table. Ahead of 4th \xf0\x9f\x87\xaa\xf0\x9f\x87\xba-\xf0\x9f\x87\xba\xf0\x9f\x87\xb3 BXL\xe2\x80\xa6 https://t.co/AJF2KOEPiH'","Brüssel, Belgien",0.0,0.25
2020-06-23 20:41:17,b'Kurdish journalist @IssoMuhyedin publishes a video which showing his family house became a Quran memorization insti\xe2\x80\xa6 https://t.co/PJ7ilP4hX7',Oslo/Norway,0.0,0.0
2020-06-23 20:40:56,b'Kurdish journalist @IssoMuhyedin publishes a video which showing his family house became a Quran memorization insti\xe2\x80\xa6 https://t.co/xPRlVGLnS4',Oslo/Norway,0.0,0.0
2020-06-23 20:40:35,"b'When will the #UAE stop shedding Muslim blood?  In #Tunisia, #Libya, #Yemen, #Syria https://t.co/j7U5BVlbwb'",,0.0,0.0
2020-06-23 20:40:33,"b'#Syria, #China, #Russia, &amp; #Vietnam all exert near complete control over the media in their respective nations. No\xe2\x80\xa6 https://t.co/ya7dSCjrZ6'",Baltimore & Paris,0.06666666666666667,0.3
2020-06-23 20:38:14,"b'Caesar Tries To Suffocate 17 #Million Syrians\n\nIn reality, it is punishes &amp; hurts the vast majority of\xc2\xa017 million\xc2\xa0p\xe2\x80\xa6 https://t.co/GBUsDhYcL7'","Hyderabad, India",-0.05,0.7
2020-06-23 20:37:39,"b""@France24_en @EmmanuelMacron @ShirliSitbon But he and all the other states tolerate #Turkey's occupation in #Syria.""",,-0.125,0.375
2020-06-23 20:36:55,"b'#Syria Israeli major agression in Syria. Swoueda and Deir Ezzor, 2 soldiers was killed  and 4 wounded'",,-0.06875,0.25
2020-06-23 20:36:27,b'Two #Syrian soldiers were killed and another four were wounded amid alleged #Israeli airstrikes in southern and eas\xe2\x80\xa6 https://t.co/bCTxfycMZ0',,-0.10000000000000002,0.03333333333333333
2020-06-23 20:33:02,"b'Heavily-armed #Russia sub heads to Mediterranean, possibly #Libya or #Syria -  video https://t.co/mAI1nHQCiV via @thearabsource'",United States,0.0,1.0
2020-06-23 20:29:46,b'British aid worker kidnapped in Syria - By Yvonne Ridley https://t.co/AWWOsl43s3 via @wtxnews #FreeTox #Syria',,0.0,0.0
2020-06-23 20:26:51,"b'Israeli airstrikes reported against Iranian sites in Syria, killing 2 #Israel #Syria #Iran #MENA  https://t.co/Nml6NlkFFy via @timesofisrael'",United States,0.0,0.0
2020-06-23 20:26:17,"b'Displaced #Syria\xe2\x80\x99n Kurdish journalist from Sere Kaniye/Ras al-Ain, currently under Turkish occupation, says #Turkey\xe2\x80\xa6 https://t.co/tqiIB19zk7'",Northern East Syria,0.0,0.4
2020-06-23 20:25:55,b'Two #Syrian regime soldiers were killed by air strikes in Al-#Suwayda.\n#Syria',"Damascus, Syria",-0.2,0.0
2020-06-23 20:22:49,"b'2 #Assad soldiers killed, 4 injured in #Israel \xf0\x9f\x87\xae\xf0\x9f\x87\xb1 strike on a military outpost in south #Syria \xf0\x9f\x87\xb8\xf0\x9f\x87\xbe near Suweida\n\nAss\xe2\x80\xa6 https://t.co/Gx7G1j8Woi'",Planet Fhloston,-0.06666666666666668,0.16666666666666666
2020-06-23 20:20:43,b'#SOHR 69 months of #International_Coalition operations in #Syria | Blocking #Tehran-#Beirut highway tops Coalition\xe2\x80\x99\xe2\x80\xa6 https://t.co/KCIOEKABxU',syria,0.0,0.0
2020-06-23 20:19:48,b'Confirmed reports that 2 died in the airstrikes and 4 more were wounded after #Israel struck multiple targets in\xe2\x80\xa6 https://t.co/589Cub13ha',"Washington, DC",0.3,0.5
2020-06-23 20:18:42,"b'Two killed, 4 injured in alleged #Israel airstrikes in #Syria https://t.co/ZVvDZsTBsi via @Jerusalem_Post'",United States,-0.15000000000000002,0.05
2020-06-23 20:18:10,"b'Violators of international law must be held accountable, emphasizes @GermanyUN at #OpenDebateCAAC, highlighting imp\xe2\x80\xa6 https://t.co/ONFT4XOCWx'",New York,0.0,0.0
